run_seed,generation,best_generation_fitness,avg_generation_fitness,worst_generation_fitness,best_global_fitness,best_global_individual
1,30,290000,1833385.792,19354530,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,31,290000,1865822.268,23874442,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,32,290000,2119385.246,23874442,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,33,290000,1807204.056,19067170,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,34,290000,2062665.474,18005522,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,35,290000,1862388.244,22056708,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,36,290000,1910028.708,21596283,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,37,290000,1759379.006,18787165,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,38,290000,1899418.696,23178357,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,39,290000,1878113.176,19572280,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,40,290000,2074649.91,20187825,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,41,290000,1722258.922,20345572,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,42,290000,2036304.95,23079056,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,43,290000,1822095.234,19670283,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,44,290000,1532320.556,19283502,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,45,290000,2054645.098,21585709,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,46,290000,2012388.042,21231543,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,47,290000,1712139.366,19276357,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,48,290000,2019057.268,23477159,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,49,290000,1702241.82,19788515,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,50,290000,1749591.23,20848808,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,51,290000,1738407.214,18153605,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,52,290000,1749898.442,20461638,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,53,290000,2139509.192,24075258,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,54,290000,1783730.696,20329845,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,55,290000,1794384.416,21730649,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,56,290000,1949847.294,22577060,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,57,290000,1948446.49,22264491,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,58,290000,1476035.582,19754283,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,59,290000,1790631.756,23375060,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,60,290000,1800721.17,20861803,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,61,290000,1934682.15,23477159,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,62,290000,1840126.502,21655258,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,63,290000,1691793.424,21957006,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,64,290000,1923229.234,22084709,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,65,290000,1914344.066,21379890,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,66,290000,2012477.138,21585709,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,67,290000,1880924.98,19457779,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,68,290000,1959807.382,19458388,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,69,290000,1731829.23,19670283,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,70,290000,1938108.894,20861803,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,71,290000,2169707.408,23874442,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,72,290000,1926656.728,20177730,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,73,290000,1672434.782,20434840,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,74,290000,1814822.372,17884505,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,75,290000,2102021.94,20086175,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,76,290000,1931457.348,20732841,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,77,290000,1631719.264,22485327,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,78,290000,1723968.724,19101830,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,79,290000,2000468.668,22155118,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,80,290000,2003705.894,22976259,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,81,290000,1557816.352,23874442,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,82,290000,1924786.01,21200729,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,83,290000,2268090.348,22184609,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,84,290000,2102410.388,23573060,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,85,290000,1716296.226,20686089,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,86,290000,1953659.332,22976259,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,87,290000,1696582.514,21355581,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,88,290000,1737110.428,20732841,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,89,290000,1890072.356,19362274,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,90,290000,1808345.056,21032642,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,91,290000,1951226.13,20425140,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,92,290000,1524595.762,20958808,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,93,290000,1954552.442,23774960,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,94,290000,1951482.546,20529778,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,95,290000,2067042.202,21596283,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,96,290000,1791336.876,19255770,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,97,290000,1634662.132,21448412,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,98,290000,1846239.034,21478712,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,99,290000,1873520.262,21956808,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,100,290000,1770642.226,22855609,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
2,0,1317005,10553972.406,24142618,1317005,"[9, 5, 8, 6, 1, 3, 2, 4, 7, 0]"
2,1,508002,7272472.654,23547396,508002,"[1, 0, 9, 8, 5, 6, 2, 7, 3, 4]"
2,2,299900,6678630.498,21571013,299900,"[2, 9, 0, 8, 5, 6, 3, 7, 4, 1]"
2,3,299900,6656230.478,22467725,299900,"[2, 9, 0, 8, 5, 6, 3, 7, 4, 1]"
2,4,299900,7148229.334,23321841,299900,"[2, 9, 0, 8, 5, 6, 3, 7, 4, 1]"
2,5,200099,6834458.808,22173892,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,6,200099,6217872.326,21573431,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,7,200099,7022367.21,23866047,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,8,200099,6395887.362,22460238,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,9,200099,6718597.71,21864851,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,10,200099,6256580.108,22461993,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,11,200099,5918415.756,22854979,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,12,200099,5562573.662,23134782,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,13,200099,4981172.5,24033021,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,14,200099,4828682.814,23564937,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,15,200099,3703465.53,21968320,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,16,200099,4197054.302,21150765,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,17,200099,3794345.32,21063856,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,18,200099,3640281.654,21066308,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,19,200099,3593012.618,21863107,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,20,200099,3425863.282,21788234,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,21,200099,3484619.072,21661508,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,22,200099,3789892.644,24563234,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,23,200099,3849830.99,23463503,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,24,200099,3487639.622,22548016,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,25,200099,3825855.266,21862493,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,26,200099,3590203.642,21941476,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,27,200099,3470766.666,22064418,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
2,28,200099,3626612.756,21864510,200099,"[1, 9, 0, 8, 5, 6, 3, 7, 4, 2]"
